Date,Price
1389/01/15,2680000
1389/01/16,2680000
1389/01/17,2680000
1389/01/18,2710000
1389/01/20,2720000
1389/01/22,2750000
1389/01/23,2760000
1389/01/24,2750000
1389/01/25,2745000
1389/01/27,2740000
1389/01/28,2720000
1389/01/29,2715000
1389/01/30,2710000
1389/01/31,2710000
1389/02/01,2730000
1389/02/03,2740000
1389/02/04,2770000
1389/02/06,2750000
1389/02/07,2850000
1389/02/08,2780000
1389/02/10,2780000
1389/02/11,2830000
1389/02/12,2830000
1389/02/13,2820000
1389/02/14,2825000
1389/02/15,2870000
1389/02/17,2820000
1389/02/18,2900000
1389/02/19,2890000
1389/02/20,2870000
1389/02/21,2880000
1389/02/22,2950000
1389/02/24,2950000
1389/02/27,2930000
1389/02/28,2920000
1389/02/29,2920000
1389/02/31,2900000
1389/03/01,2880000
1389/03/02,2880000
1389/03/03,2900000
1389/03/04,2910000
1389/03/05,2950000
1389/03/07,2960000
1389/03/08,2970000
1389/03/09,2970000
1389/03/10,2980000
1389/03/11,3000000
1389/03/12,3040000
1389/03/15,3020000
1389/03/16,3015000
1389/03/17,3020000
1389/03/18,3070000
1389/03/19,3100000
1389/03/21,3110000
1389/03/22,3085000
1389/03/23,3075000
1389/03/24,3080000
1389/03/25,3040000
1389/03/26,3060000
1389/03/28,3060000
1389/03/29,3100000
1389/03/31,3120000
1389/04/01,3080000
1389/04/02,3080000
1389/04/05,3085000
1389/04/06,3120000
1389/04/07,3120000
1389/04/08,3100000
1389/04/09,3120000
1389/04/11,3030000
1389/04/13,3030000
1389/04/15,3020000
1389/04/16,3000000
1389/04/19,3010000
1389/04/20,3020000
1389/04/21,3010000
1389/04/23,3020000
1389/04/25,3020000
1389/04/26,2980000
1389/04/27,2960000
1389/04/28,2960000
1389/04/29,2940000
1389/04/30,2950000
1389/05/01,2950000
1389/05/02,2960000
1389/05/03,2960000
1389/05/05,2975000
1389/05/06,2925000
1389/05/08,2920000
1389/05/09,2950000
1389/05/10,2950000
1389/05/11,2950000
1389/05/12,2950000
1389/05/15,2975000
1389/05/16,3000000
1389/05/17,3000000
1389/05/19,3000000
1389/05/20,2990000
1389/05/22,3010000
1389/05/23,3030000
1389/05/24,3030000
1389/05/25,3030000
1389/05/26,3040000
1389/05/27,3040000
1389/05/29,3040000
1389/05/30,3040000
1389/05/31,3040000
1389/06/01,3040000
1389/06/02,3030000
1389/06/03,3050000
1389/06/05,3060000
1389/06/06,3060000
1389/06/07,3070000
1389/06/08,3080000
1389/06/12,3080000
1389/06/13,3125000
1389/06/14,3120000
1389/06/15,3120000
1389/06/16,3125000
1389/06/17,3140000
1389/06/20,3140000
1389/06/21,3130000
1389/06/22,3125000
1389/06/23,3130000
1389/06/24,3160000
1389/06/26,3160000
1389/06/27,3170000
1389/06/28,3210000
1389/06/29,3250000
1389/06/30,3220000
1389/06/31,3260000
1389/07/02,3270000
1389/07/03,3300000
1389/07/04,3350000
1389/07/05,3360000
1389/07/06,3370000
1389/07/07,3600000
1389/07/09,3480000
1389/07/10,3500000
1389/07/12,3420000
1389/07/13,3390000
1389/07/14,3480000
1389/07/16,3480000
1389/07/17,3470000
1389/07/18,3430000
1389/07/19,3450000
1389/07/20,3450000
1389/07/21,3450000
1389/07/23,3520000
1389/07/24,3450000
1389/07/25,3460000
1389/07/26,3450000
1389/07/27,3460000
1389/07/30,3420000
1389/08/01,3350000
1389/08/02,3350000
1389/08/03,3360000
1389/08/04,3360000
1389/08/05,3350000
1389/08/07,3340000
1389/08/08,3420000
1389/08/09,3400000
1389/08/10,3400000
1389/08/11,3400000
1389/08/12,3390000
