Date,Price
1393/02/12,1398610
1393/02/19,1333370
1393/02/26,1357070
1393/02/28,1350300
1393/02/29,1341680
1393/02/30,1344760
1393/02/31,1346600
1393/03/02,1341680
1393/03/04,1342290
1393/03/06,1316450
1393/03/07,1309980
1393/03/09,1303830
1393/03/10,1305980
1393/03/11,1304750
1393/03/12,1304750
1393/03/16,1297670
1393/03/17,1287830
1393/03/18,1284750
1393/03/23,1302290
1393/03/30,1330910
1393/04/13,1295520
1393/04/20,1312440
1393/05/03,1298290
1393/05/10,1293980
1393/05/17,1306600
1393/05/24,1294300
1393/05/31,1278930
1393/06/01,1285080
1393/06/07,1297380
1393/06/14,1286620
1393/06/19,1280470
1393/06/21,1262020
1393/06/28,1251260
1393/07/04,1278930
1393/07/11,1263560
1393/07/18,1282010
1393/07/25,1280470
1393/08/02,1268170
1393/08/09,1242040
1393/08/16,1237430
1393/08/23,1248190
1393/08/30,1248190
1393/09/07,1288160
1393/09/14,1295840
1393/09/28,1348110
1393/10/05,1354250
1393/10/12,1335810
1393/10/19,1355790
1393/10/26,1378850
1393/11/03,1404980
1393/11/10,1398830
1393/11/17,1329660
1393/11/24,1351180
1393/12/01,1318900
1393/12/08,1340420
1393/12/15,1301990
1393/12/22,1238970
1394/01/07,1292770
1394/01/14,1283540
1394/01/21,1325050
1394/01/28,1315830
1394/02/04,1292770
1394/02/11,1294300
1394/02/18,1280470
1394/03/01,1272780
1394/03/08,1268170
1394/03/15,1251260
1394/03/22,1240500
1394/03/29,1238970
1394/04/05,1234970
1394/04/12,1216830
1394/04/19,1206690
1394/05/02,1187010
1394/05/09,1192540
1394/05/16,1196230
1394/05/23,1210370
1394/05/30,1282930
1394/06/06,1242040
1394/06/13,1253420
1394/06/20,1242960
1394/06/27,1251570
1394/07/03,1257410
1394/07/10,1258030
1394/07/17,1279240
1394/07/24,1283240
1394/08/08,1274630
1394/08/15,1239000
1394/08/16,1241430
1394/08/17,1246040
1394/08/18,1244190
1394/08/19,1242960
1394/08/20,1241730
1394/08/21,1243580
1394/08/22,1248500
1394/08/23,1246040
1394/08/26,1229440
1394/08/27,1233430
1394/08/29,1226400
1394/08/30,1230360
1394/09/01,1225440
1394/09/02,1233130
1394/09/03,1234970
1394/09/04,1238040
1394/09/06,1232800
1394/09/07,1238660
1394/09/08,1237120
1394/09/09,1246650
1394/09/11,1236510
1394/09/13,1251000
1394/09/14,1255260
1394/09/15,1256180
1394/09/16,1253720
1394/09/17,1254650
1394/09/21,1251880
1394/09/22,1248500
1394/09/23,1239270
1394/09/24,1247580
1394/09/25,1247880
1394/09/27,1246300
1394/09/28,1248800
1394/09/29,1255260
1394/09/30,1260790
1394/10/01,1265710
1394/10/02,1272170
1394/10/04,1282000
