Date,Price
1393/02/08,78151.30
1393/02/09,78164.30
1393/02/10,78164.30
1393/02/11,78164.30
1393/02/12,77939
1393/02/13,77569.20
1393/02/14,77763.80
1393/02/15,77717.30
1393/02/16,77752.40
1393/02/17,77752.40
1393/02/18,77752.40
1393/02/19,77931
1393/02/20,77734.20
1393/02/21,77596.40
1393/02/22,77596.40
1393/02/23,77610.20
1393/02/24,77610.20
1393/02/25,77610.20
1393/02/26,76901.80
1393/02/27,76987.50
1393/02/28,76528.90
1393/02/29,76634.40
1393/02/30,76767.60
1393/03/02,76703.90
1393/03/03,76394.20
1393/03/04,76212
1393/03/06,76067.80
1393/03/09,75687.10
1393/03/10,74543.40
1393/03/11,74735.90
1393/03/12,75102.80
1393/03/16,75329.50
1393/03/17,75353.50
1393/03/18,75240.50
1393/03/19,74836.70
1393/03/20,74499.10
1393/03/23,73516
1393/03/24,72631.80
1393/03/25,72748.80
1393/03/26,72638
1393/03/27,72873.10
1393/03/30,72969
1393/03/31,72900.80
1393/04/01,72544.90
1393/04/02,72344.40
1393/04/03,72249.90
1393/04/13,72162.20
1393/04/14,71960.20
1393/04/15,71916.60
1393/04/16,73025
1393/04/17,73416.40
1393/04/20,73555.90
1393/04/21,73226.20
1393/04/22,73347.40
1393/04/23,73457.90
1393/04/24,73754.20
1393/04/28,73750.20
1393/04/29,73890.50
1393/04/30,74526.10
1393/04/31,74841.60
1393/05/03,74840.30
1393/05/04,74848
1393/05/05,74997.60
1393/05/10,74841
1393/05/11,74637.40
1393/05/12,74709.20
1393/05/13,74697.50
1393/05/14,74613.80
1393/05/17,74398.60
1393/05/18,74398.90
1393/05/19,74547.50
1393/05/20,74455.10
1393/05/21,74414.30
1393/05/22,74363
1393/05/24,74051
1393/05/25,73952.60
1393/05/26,73906.80
1393/05/27,73902.60
1393/05/28,73905.70
1393/05/31,73868
1393/06/01,73529.50
1393/06/02,73499.90
1393/06/03,73540.90
1393/06/04,73312.20
1393/06/07,72941.80
1393/06/08,72778.40
1393/06/09,72339.80
1393/06/10,72232.40
1393/06/11,72121.50
1393/06/14,71822.40
1393/06/15,71665.40
1393/06/16,71815.20
1393/06/17,71930.10
1393/06/18,71925.40
1393/06/21,71486
1393/06/22,71413.80
1393/06/23,71402.30
1393/06/24,71408.30
1393/06/25,71443.60
1393/06/28,71445
1393/06/29,71545.30
1393/06/30,71685.80
1393/06/31,71726.50
1393/07/01,71788.10
1393/07/04,71702.20
1393/07/05,71643.70
1393/07/06,71675.20
1393/07/07,71664
1393/07/08,71640.50
1393/07/11,71670.10
1393/07/13,71821.50
1393/07/14,71718.90
1393/07/15,71783.70
1393/07/18,71771.70
1393/07/19,71791.50
1393/07/21,71893.10
1393/07/22,71978.60
1393/07/25,72016.50
1393/07/26,72281
1393/07/27,73548.30
1393/07/28,74109.10
1393/07/29,74132.80
1393/08/02,74152
1393/08/03,73940.80
1393/08/04,73958.90
1393/08/05,73967.80
1393/08/06,74151.10
1393/08/09,75028
1393/08/10,75368.60
1393/08/13,76166.60
1393/08/16,76420.50
1393/08/17,76553.40
1393/08/18,76560.80
1393/08/19,76708
1393/08/20,76589.40
1393/08/23,75946.50
1393/08/24,75930.80
1393/08/25,75965.90
1393/08/26,75409.40
1393/08/27,75248.40
1393/08/30,75042.60
1393/09/01,75389.60
1393/09/02,75949
1393/09/03,74740.90
1393/09/04,74076.10
1393/09/07,73245.10
1393/09/08,72189.50
1393/09/09,72120.70
1393/09/10,72258.50
1393/09/11,71860.20
1393/09/14,71712
1393/09/15,71170
1393/09/16,71376.60
1393/09/17,71381.70
1393/09/18,71043
1393/09/22,70291.60
1393/09/23,69542.60
1393/09/24,69608.60
1393/09/25,69494.80
1393/09/28,69537.50
1393/09/30,70094.40
1393/10/02,70153.50
1393/10/05,69705
1393/10/06,69625.50
1393/10/07,69272.60
1393/10/08,69254.50
1393/10/09,68973.10
1393/10/12,68829.90
1393/10/13,68650.60
1393/10/14,68232.10
1393/10/15,67471
1393/10/16,66902
1393/10/19,66197.90
1393/10/20,65512.80
1393/10/21,66000.10
1393/10/22,65929.10
1393/10/23,65939.10
1393/10/26,66273.30
1393/10/27,66319.20
1393/10/28,65835
1393/10/29,65564.70
1393/10/30,65028.90
1393/11/03,65029.10
1393/11/04,65105
1393/11/05,65110.80
1393/11/06,65127.70
1393/11/07,65256.10
1393/11/10,65542.80
1393/11/11,65544.70
1393/11/12,65556
1393/11/13,65597.40
1393/11/14,65771.60
1393/11/17,65787.20
1393/11/18,65366.30
1393/11/19,64917.50
1393/11/20,64840.90
1393/11/24,64932.10
1393/11/25,64926.80
1393/11/26,64993.60
1393/11/27,64811.20
1393/11/28,64720
1393/12/01,64867.10
1393/12/02,64719.90
1393/12/03,64678.40
1393/12/04,64525.80
1393/12/05,64051.70
1393/12/08,63950.90
1393/12/09,63860.10
1393/12/10,63954.80
1393/12/11,63996
1393/12/12,64014.90
1393/12/15,63911.10
1393/12/16,63806.70
1393/12/17,63846.70
1393/12/18,63853.40
1393/12/19,64070.70
1393/12/22,64610.30
1393/12/23,64980.60
1393/12/24,65122.80
1393/12/25,61532.90
1393/12/26,62531.80
1394/01/04,62885
1394/01/07,63152.20
1394/01/08,65099.90
1394/01/09,65175.10
1394/01/10,65728
1394/01/14,67827
1394/01/15,70261.70
1394/01/16,70843.90
1394/01/17,70159.90
1394/01/18,70684.70
1394/01/21,70022.80
1394/01/22,68783.90
1394/01/23,68454.10
1394/01/24,68465.30
1394/01/25,68078.80
1394/01/28,67374
1394/01/29,67378.80
1394/01/30,67016.70
1394/01/31,66828.60
1394/02/01,66569.20
1394/02/04,66707.80
1394/02/05,66208.90
1394/02/06,65576.80
1394/02/07,65508.20
1394/02/08,65634.10
1394/02/12,65088.30
1394/02/13,64415.80
1394/02/14,64168.10
1394/02/15,64069.20
1394/02/18,63530.20
1394/02/19,62885.90
1394/02/20,63069.80
1394/02/21,63316
1394/02/22,63531.40
1394/02/26,63465.10
1394/02/27,63522.80
1394/02/28,63644.30
1394/02/29,63703.10
1394/03/01,63427.80
1394/03/02,63363.80
1394/03/03,63496.50
1394/03/04,63419.10
1394/03/05,63402.10
1394/03/08,63419.90
1394/03/09,63227.90
1394/03/10,63227
1394/03/11,63289.80
1394/03/15,63297.60
1394/03/16,63187.30
1394/03/17,63124
1394/03/18,62317.90
1394/03/19,62322.20
1394/03/22,62571.20
1394/03/23,62653.30
1394/03/24,62573.70
1394/03/25,62558.90
1394/03/26,63559.70
1394/03/29,63836.20
1394/03/30,63810.70
1394/03/31,64276.50
1394/04/01,64839.50
1394/04/02,64857.60
1394/04/05,64812.20
1394/04/06,64301.40
1394/04/07,64332.90
1394/04/08,64922.60
1394/04/09,64861.80
1394/04/12,65860.80
1394/04/13,65780.10
1394/04/14,66019.90
1394/04/15,66761.40
1394/04/19,66817.80
1394/04/20,67646.40
1394/04/21,69194.50
1394/04/22,69433.50
1394/04/23,68827.70
1394/04/28,68148.40
1394/04/29,68050.70
1394/04/30,67643.90
1394/05/02,67036.30
1394/05/03,66977.40
1394/05/04,66441.40
1394/05/05,66489.50
1394/05/06,66780.70
1394/05/09,66829.70
1394/05/10,66530.50
1394/05/11,66626.70
1394/05/12,66445.70
1394/05/13,66451
1394/05/16,66000.90
1394/05/17,65973.50
1394/05/18,65903.10
1394/05/20,65703.30
1394/05/23,65314.30
1394/05/24,65239.90
